<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20100524,3.6696,3.6696,3.5617,3.5617,210
ABI,20100525,3.8855,3.8855,3.2379,3.2379,11020
ABI,20100526,3.5617,3.5617,3.4178,3.4178,50010
ABI,20100527,3.2379,3.2379,3.2379,3.2379,4700
ABI,20100528,3.5617,3.5617,3.2739,3.2739,12510
ABI,20100531,3.7776,3.7776,3.4538,3.4538,410
ABI,20100601,3.7776,3.7776,3.2379,3.5617,430
ABI,20100602,3.5977,3.5977,2.9501,2.9501,20
ABI,20100603,3.5977,3.5977,2.9861,3.2379,5650
ABI,20100604,3.5617,3.5617,2.9861,2.9861,1460
ABI,20100607,3.3459,3.3459,2.9861,2.9861,800
ABI,20100608,2.9861,3.5391,2.9861,3.5391,530
ABI,20100609,3.8340,3.8340,3.1704,3.4653,320
ABI,20100610,3.8339,3.8339,3.5022,3.7971,320
ABI,20100611,3.6865,3.9077,3.6865,3.9077,3140
ABI,20100614,3.6496,3.6496,3.5022,3.5022,200
ABI,20100615,3.9446,3.9446,3.3179,3.3179,380
ABI,20100616,3.6866,3.6866,3.0230,3.3179,1250
ABI,20100617,3.5760,3.5760,3.5759,3.5759,100
ABI,20100618,3.9077,3.9077,3.6496,3.6497,1610
ABI,20100621,3.9815,3.9815,3.6497,3.6497,1210
ABI,20100622,3.3179,3.3179,3.3179,3.3179,100
ABI,20100623,3.3179,3.3179,3.3179,3.3179,5000
ABI,20100624,3.3179,3.3179,3.0230,3.0230,830
ABI,20100625,3.4654,3.4654,2.9861,3.3179,250
ABI,20100628,3.5760,3.5760,3.1335,3.1335,6010
ABI,20100629,2.9123,3.4653,2.8754,3.4653,259
ABI,20100630,3.1704,3.2072,2.8386,2.8386,470
ABI,20100701,3.2810,3.2810,2.7280,3.2073,5538
ABI,20100702,3.4285,3.4285,3.4285,3.4285,3280
ABI,20100705,3.7603,3.7603,3.6128,3.6128,75190
ABI,20100706,4.1289,4.1289,4.1289,4.1289,17858
ABI,20100707,4.5344,4.5344,4.1658,4.4238,70120
ABI,20100708,4.9399,4.9399,4.0552,4.9399,12733
ABI,20100709,4.0920,4.4238,3.8708,4.0552,3810
ABI,20100712,4.4607,4.4607,3.8709,4.0552,3250
ABI,20100713,4.4607,4.4607,4.2395,4.4238,31059
ABI,20100714,4.4975,4.7924,4.1289,4.3132,11760
ABI,20100715,4.3132,4.3132,4.0551,4.0920,4600
ABI,20100716,4.5712,4.5712,3.7602,4.5344,38361
ABI,20100719,4.0920,4.4238,4.0920,4.2395,5300
ABI,20100720,4.2395,4.2395,3.8340,3.8340,5800
ABI,20100721,4.0552,4.0552,3.8709,3.8709,1700
ABI,20100722,3.7234,3.9446,3.7234,3.8340,11700
ABI,20100723,3.7603,3.7603,3.7234,3.7603,4000
ABI,20100726,3.6866,3.9078,3.6865,3.6865,4700
