<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTI,20121009,5.7963,5.7963,5.6241,5.6241,1100
PTI,20121010,5.4519,5.4520,5.4519,5.4520,600
PTI,20121011,5.5094,5.5094,5.4520,5.4520,3000
PTI,20121012,5.4520,5.4520,5.4520,5.4520,4100
PTI,20121015,5.4520,5.7389,5.4520,5.7389,3900
PTI,20121016,5.7389,5.8537,5.7389,5.7389,21600
PTI,20121017,5.7389,5.7389,5.7389,5.7389,800
PTI,20121018,5.7389,5.7389,5.7389,5.7389,26700
PTI,20121019,5.5093,5.5093,5.5093,5.5093,1000
PTI,20121022,5.4519,5.4520,5.4519,5.4520,2000
PTI,20121023,5.7389,5.7389,5.7389,5.7389,2700
PTI,20121024,5.7963,5.8537,5.7963,5.8537,16600
PTI,20121025,5.8537,5.8537,5.6815,5.6815,9400
PTI,20121026,5.4519,5.4520,5.4519,5.4520,300
PTI,20121029,5.4520,5.7963,5.4520,5.7963,3600
PTI,20121030,5.7963,5.7963,5.7963,5.7963,0
PTI,20121031,5.7963,5.7963,5.7963,5.7963,0
PTI,20121101,5.3946,5.3946,5.3946,5.3946,2000
PTI,20121102,5.3946,5.3946,5.3946,5.3946,0
PTI,20121105,5.3946,5.3946,5.3946,5.3946,0
PTI,20121106,5.3946,5.3946,5.3946,5.3946,1400
PTI,20121107,5.3946,5.3946,5.3946,5.3946,0
PTI,20121108,5.1650,5.1650,5.0502,5.0502,15100
PTI,20121109,5.0502,5.0502,5.0502,5.0502,0
PTI,20121112,5.3945,5.3946,5.3945,5.3946,500
PTI,20121113,5.0503,5.0503,5.0502,5.0502,500
PTI,20121114,4.9354,5.3371,4.9354,4.9355,1600
PTI,20121115,4.9355,4.9355,4.9355,4.9355,0
PTI,20121116,4.9355,5.2224,4.9355,5.2224,800
PTI,20121119,5.1650,5.1650,5.1650,5.1650,3000
PTI,20121120,5.1650,5.1650,5.1650,5.1650,0
PTI,20121121,5.3372,5.3372,5.1650,5.1650,700
PTI,20121122,5.2224,5.2224,5.2224,5.2224,1000
PTI,20121123,5.2224,5.2798,5.2224,5.2224,1900
PTI,20121126,5.2224,5.2224,5.2224,5.2224,3000
PTI,20121127,5.1650,5.1650,4.9355,4.9355,2800
PTI,20121128,4.9355,4.9355,4.9355,4.9355,0
PTI,20121129,4.9355,4.9355,4.9355,4.9355,0
PTI,20121130,5.1651,5.1651,4.9355,4.9355,700
